LOCATION,Country,TYPE_VAR,Type of indicator,VARIABLE,Indicator,WB,Current/Future Well-being,SEX,Sex,AGE,Age,EDUCATION,Education,TIME,Time,Value,Flag Codes,Flags
AUT,Austria,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2020,2020,56.5,,
AUT,Austria,HOR,Gap between groups (horizontal inequality),11_1,Life satisfaction,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2013,2013,7.332877209,,
AUT,Austria,HOR,Gap between groups (horizontal inequality),11_1,Life satisfaction,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2018,2018,7.5,,
AUT,Austria,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2010,2010,14.14871514,,
AUT,Austria,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2011,2011,14.14871514,,
AUT,Austria,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2012,2012,14.14871514,,
AUT,Austria,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2013,2013,14.14871514,,
AUT,Austria,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2014,2014,14.14871514,,
AUT,Austria,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2015,2015,14.14871514,,
AUT,Austria,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2016,2016,14.14871514,,
AUT,Austria,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2017,2017,14.14871514,,
AUT,Austria,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2018,2018,14.14871514,,
AUT,Austria,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2019,2019,14.14871514,,
AUT,Austria,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2020,2020,14.14871514,,
AUT,Austria,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2021,2021,14.14871514,,
BEL,Belgium,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2004,2004,59.5,,
BEL,Belgium,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2005,2005,61.3,,
BEL,Belgium,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2006,2006,63.7,,
BEL,Belgium,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2007,2007,63.9,,
BEL,Belgium,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2008,2008,62.5,,
BEL,Belgium,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2009,2009,59.8,,
BEL,Belgium,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2010,2010,58.7,,
BEL,Belgium,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2011,2011,57,,
BEL,Belgium,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2012,2012,60.8,,
BEL,Belgium,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2013,2013,60,,
BEL,Belgium,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2014,2014,58.4,,
BEL,Belgium,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2015,2015,57.4,,
BEL,Belgium,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2016,2016,59.3,,
BEL,Belgium,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2017,2017,61.4,,
BEL,Belgium,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2018,2018,62.2,,
BEL,Belgium,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2019,2019,59.9,,
BEL,Belgium,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2020,2020,59.2,,
BEL,Belgium,HOR,Gap between groups (horizontal inequality),10_2,Feeling safe at night,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2010,2010,56.35700226,,
BEL,Belgium,HOR,Gap between groups (horizontal inequality),10_2,Feeling safe at night,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2012,2012,56.35700226,,
CAN,Canada,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2011,2011,76.8,D,Difference in methodology
CAN,Canada,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2012,2012,78.2,D,Difference in methodology
CAN,Canada,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2013,2013,76.2,D,Difference in methodology
CAN,Canada,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2014,2014,76.6,D,Difference in methodology
CAN,Canada,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2015,2015,79.9,B; D,Break; Difference in methodology
CAN,Canada,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2016,2016,77,D,Difference in methodology
CAN,Canada,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2017,2017,78.5,D,Difference in methodology
CAN,Canada,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2018,2018,77,D,Difference in methodology
CAN,Canada,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2019,2019,77.4,D,Difference in methodology
CAN,Canada,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2020,2020,80.3,D,Difference in methodology
CAN,Canada,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2010,2010,15.35042673,,
CAN,Canada,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2011,2011,15.35042673,,
CAN,Canada,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2012,2012,15.35042673,,
CAN,Canada,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2013,2013,15.35042673,,
CAN,Canada,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2014,2014,15.35042673,,
CAN,Canada,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2015,2015,15.35042673,,
CAN,Canada,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2016,2016,15.35042673,,
CAN,Canada,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2017,2017,15.35042673,,
CAN,Canada,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2018,2018,15.35042673,,
CAN,Canada,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2019,2019,15.35042673,,
CAN,Canada,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2020,2020,15.35042673,,
CAN,Canada,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2021,2021,15.35042673,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2005,2005,45.3,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2006,2006,46.9,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2007,2007,49.8,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2008,2008,47.1,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2009,2009,46.5,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2010,2010,47,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2011,2011,42.3,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2012,2012,44.2,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2013,2013,40.7,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2014,2014,42,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2015,2015,43.2,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2016,2016,43.1,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2017,2017,42.6,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2018,2018,40.3,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2019,2019,41.6,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2020,2020,41,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),10_2,Feeling safe at night,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2010,2010,58.06083083,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),10_2,Feeling safe at night,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2011,2011,58.06083083,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),10_2,Feeling safe at night,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2012,2012,58.06083083,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),10_2,Feeling safe at night,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2013,2013,58.06083083,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),10_2,Feeling safe at night,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2014,2014,58.06083083,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),10_2,Feeling safe at night,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2016,2016,58.06083083,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),10_2,Feeling safe at night,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2017,2017,58.06083083,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),10_2,Feeling safe at night,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2018,2018,58.06083083,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2010,2010,17.11324751,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2011,2011,17.11324751,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2012,2012,17.11324751,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2013,2013,17.11324751,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2014,2014,17.11324751,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2015,2015,17.11324751,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2016,2016,17.11324751,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2017,2017,17.11324751,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2018,2018,17.11324751,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2020,2020,17.11324751,,
CZE,Czech Republic,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2021,2021,17.11324751,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2004,2004,69.1,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2005,2005,67.8,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2006,2006,66.6,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2007,2007,66,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2008,2008,63.9,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2009,2009,62.3,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2010,2010,61.8,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2011,2011,63.3,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2012,2012,65.7,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2013,2013,66.1,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2014,2014,63.7,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2015,2015,64.6,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2016,2016,63.1,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2017,2017,62.4,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2018,2018,65.1,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2019,2019,59.9,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2020,2020,59.5,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2010,2010,8.356220275,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2011,2011,8.356220275,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2012,2012,8.356220275,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2013,2013,8.356220275,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2014,2014,8.356220275,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2015,2015,8.356220275,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2016,2016,8.356220275,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2017,2017,8.356220275,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2018,2018,8.356220275,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2019,2019,8.356220275,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2020,2020,8.356220275,,
DNK,Denmark,HOR,Gap between groups (horizontal inequality),11_2,Negative affect balance,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2021,2021,8.356220275,,
FIN,Finland,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2004,2004,55.3,,
FIN,Finland,HOR,Gap between groups (horizontal inequality),5_2,Perceived health,CWB,Current Well-being,TOT,Total population,TOT,Total population,PRIMARY,Primary,2005,2005,54.1,,
